"","X.1","time","X","t_i_1","t_i_2","t_i_3","t_i_4","t_i_5","t_o","weight_kg","h","t","p","key","day","month","year","hour","minute","second","uni_time","numeric.time","weight_delta","no_jump","outlier_lim","weight_delta_noOutlier","weight_kg_noOutlier","with_0","queencell.last","queencell.next","queencell.last.dif","queencell.next.dif","feeding.last","feeding.next","feeding.last.dif","feeding.next.dif","honey.last","honey.next","honey.last.dif","honey.next.dif","treatment.last","treatment.next","treatment.last.dif","treatment.next.dif","died.last","died.next","died.last.dif","died.next.dif","swarming.last","swarming.next","swarming.last.dif","swarming.next.dif","lon","lat"
"1",1,"2020-01-01 00:00:00",30.5,-2.46614583333333,-2.98333333333333,-2.215625,-2.3203125,-1.58645833333333,-5.13541666666667,35.407607,82.3807888333333,-1.352145475,1031.90968333333,49,1,1,2020,0,29.5,0,NA,30.5,-6.66666666665099e-06,1,0,-6.66666666665099e-06,-0.000568000000000168,-6.66666666665099e-06,NA,NA,NA,NA,NA,NA,112.261458333333,NA,NA,NA,128.615625,832.744097222222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,50.9
"2",2,"2020-01-01 01:00:00",90.5,-2.61354166666667,-3.13333333333333,-2.38541666666667,-2.4578125,-1.81510416666667,-5.28020833333333,35.40620775,82.5646230833333,-1.58244543333333,1031.708275,49,1,1,2020,1,29.5,0,NA,90.5,-2.81666666667256e-05,1,0,-2.81666666667256e-05,-0.00196725000000046,-2.81666666667256e-05,NA,NA,NA,NA,NA,NA,112.303125,NA,NA,NA,128.657291666667,832.702430555556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,50.9
"3",3,"2020-01-01 02:00:00",150.5,-2.759375,-3.29010416666667,-2.53541666666667,-2.61041666666667,-2.00572916666667,-5.5828125,35.4042238333333,82.57934325,-1.77921179166667,1031.2992,49,1,1,2020,2,29.5,0,NA,150.5,-5.76666666666151e-05,1,0,-5.76666666666151e-05,-0.00395116666666624,-5.76666666666151e-05,NA,NA,NA,NA,NA,NA,112.344791666667,NA,NA,NA,128.698958333333,832.660763888889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,50.9
"4",4,"2020-01-01 03:00:00",210.5,-3.17239583333333,-3.70989583333333,-3.01510416666667,-2.990625,-2.50416666666667,-5.78697916666667,35.4012815833333,81.6177514166667,-2.23544053333333,1030.92909166667,49,1,1,2020,3,29.5,0,NA,210.5,-4.56666666667143e-05,1,0,-4.56666666667143e-05,-0.0068934166666665,-4.56666666667143e-05,NA,NA,NA,NA,NA,NA,112.386458333333,NA,NA,NA,128.740625,832.619097222222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,50.9
"5",5,"2020-01-01 04:00:00",270.5,-3.39375,-3.8828125,-3.24270833333333,-3.1625,-2.73541666666667,-5.87916666666667,35.39975475,80.58997925,-2.47530691666667,1030.63355833333,49,1,1,2020,4,29.5,0,NA,270.5,-4.59999999999168e-05,1,0,-4.59999999999168e-05,-0.00842024999999988,-4.59999999999168e-05,NA,NA,NA,NA,NA,NA,112.428125,NA,NA,NA,128.782291666667,832.577430555556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,50.9
"6",6,"2020-01-01 05:00:00",330.5,-3.80677083333333,-4.32135416666667,-3.78177083333333,-3.571875,-3.2515625,-5.9703125,35.3972429166667,79.4688318333333,-2.92718005833333,1030.65760833333,49,1,1,2020,5,29.5,0,NA,330.5,1.09166666665789e-05,1,0,1.09166666665789e-05,-0.0109320833333336,1.09166666665789e-05,NA,NA,NA,NA,NA,NA,112.469791666667,NA,NA,NA,128.823958333333,832.535763888889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,50.9
"7",7,"2020-01-01 06:00:00",390.5,-3.44322916666667,-3.87864583333333,-3.33854166666667,-3.15625,-2.70729166666667,-4.85885416666667,35.3997398333333,81.1946266666667,-2.43199214166667,1030.51809166667,49,1,1,2020,6,29.5,0,NA,390.5,8.81666666667039e-05,1,0,8.81666666667039e-05,-0.00843516666666655,8.81666666667039e-05,NA,NA,NA,NA,NA,NA,112.511458333333,NA,NA,NA,128.865625,832.494097222222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,50.9
"8",8,"2020-01-01 07:00:00",450.5,-2.7625,-3.146875,-2.6203125,-2.46927083333333,-1.88177083333333,-3.8765625,35.4026806666667,83.0030571666667,-1.67317671166667,1030.6077,49,1,1,2020,7,29.5,0,NA,450.5,3.79999999999821e-05,1,0,3.79999999999821e-05,-0.00549433333333328,3.79999999999821e-05,NA,NA,NA,NA,NA,NA,112.553125,NA,NA,NA,128.907291666667,832.452430555556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,50.9
"9",9,"2020-01-01 08:00:00",510.5,-1.63645833333333,-1.94739583333333,-1.53072916666667,-1.27395833333333,-0.652604166666667,-2.01927083333333,35.40714125,85.2145835833333,-0.392620658416667,1030.85660833333,49,1,1,2020,8,29.5,0,NA,510.5,1.73333333333871e-05,1,0,1.73333333333871e-05,-0.00103374999999974,1.73333333333871e-05,NA,NA,NA,NA,NA,NA,112.594791666667,NA,NA,NA,128.948958333333,832.410763888889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,50.9
"10",10,"2020-01-01 09:00:00",570.5,-0.501041666666667,-0.767708333333333,-0.480208333333333,-0.128125,0.516666666666667,-0.561458333333333,35.4102366666667,86.09700425,0.798076870833333,1030.83435,49,1,1,2020,9,29.5,0,NA,570.5,6.27500000000218e-05,1,0,6.27500000000218e-05,0.00206166666666678,6.27500000000218e-05,NA,NA,NA,NA,NA,NA,112.636458333333,NA,NA,NA,128.990625,832.369097222222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,50.9
