timestamp,event,direction,class,bees_in_total,bees_out_total,pollen_in_total,total_bees
2026-05-02 08:12:28,crossing,in,bee,1,0,0,1
2026-05-02 08:12:37,crossing,out,bee,1,1,0,2
2026-05-02 08:12:56,crossing,in,bee,2,1,0,3
2026-05-02 08:13:10,crossing,out,bee,2,2,0,4
2026-05-02 08:13:22,crossing,in,bee,3,2,0,5
2026-05-02 08:13:44,crossing,out,bee,3,3,0,6
2026-05-02 08:13:47,crossing,in,bee,4,3,0,7
2026-05-02 08:13:53,crossing,out,bee,4,4,0,8
2026-05-02 08:13:54,crossing,in,bee,5,4,0,9
2026-05-02 08:14:05,crossing,in,bee,6,4,0,10
2026-05-02 08:14:20,crossing,in,bee,7,4,0,11
2026-05-02 08:14:27,crossing,out,bee,7,5,0,12
2026-05-02 08:14:31,crossing,out,bee,7,6,0,13
2026-05-02 08:14:48,crossing,out,bee,7,7,0,14
2026-05-02 08:14:48,crossing,out,bee,7,8,0,15
2026-05-02 08:15:05,crossing,in,bee,8,8,0,16
2026-05-02 08:15:07,crossing,in,bee,9,8,0,17
2026-05-02 08:15:11,crossing,in,bee,10,8,0,18
2026-05-02 08:15:14,crossing,out,bee,10,9,0,19
2026-05-02 08:15:26,crossing,out,bee,10,10,0,20
2026-05-02 08:15:40,crossing,out,bee,10,11,0,21
2026-05-02 08:15:49,crossing,out,bee,10,12,0,22
2026-05-02 08:16:15,crossing,out,bee,10,13,0,23
2026-05-02 08:16:18,crossing,in,bee,11,13,0,24
2026-05-02 08:16:35,crossing,out,bee,11,14,0,25
2026-05-02 08:16:47,crossing,in,bee,12,14,0,26
2026-05-02 08:17:11,crossing,out,bee,12,15,0,27
2026-05-02 08:17:16,crossing,in,bee,13,15,0,28
2026-05-02 08:17:18,crossing,out,bee,13,16,0,29
2026-05-02 08:17:23,crossing,out,bee,13,17,0,30
2026-05-02 08:17:29,crossing,out,bee,13,18,0,31
2026-05-02 08:17:34,crossing,in,bee,14,18,0,32
2026-05-02 08:17:36,crossing,out,bee,14,19,0,33
2026-05-02 08:17:40,crossing,out,bee,14,20,0,34
2026-05-02 08:17:46,crossing,out,bee,14,21,0,35
2026-05-02 08:17:47,crossing,out,bee,14,22,0,36
2026-05-02 08:18:10,crossing,out,bee,14,23,0,37
2026-05-02 08:18:16,crossing,out,bee,14,24,0,38
2026-05-02 08:18:30,crossing,out,bee,14,25,0,39
2026-05-02 08:18:39,crossing,out,bee,14,26,0,40
2026-05-02 08:18:42,crossing,out,bee,14,27,0,41
2026-05-02 08:18:47,crossing,out,bee,14,28,0,42
2026-05-02 08:18:53,crossing,out,bee,14,29,0,43
2026-05-02 08:18:59,crossing,out,bee,14,30,0,44
2026-05-02 08:19:09,crossing,out,bee,14,31,0,45
2026-05-02 08:19:17,crossing,out,bee,14,32,0,46
2026-05-02 08:19:19,crossing,out,bee,14,33,0,47
2026-05-02 08:19:22,crossing,out,bee,14,34,0,48
2026-05-02 08:19:22,crossing,out,bee,14,35,0,49
2026-05-02 08:19:23,crossing,out,bee,14,36,0,50
2026-05-02 08:19:26,crossing,in,bee,15,36,0,51
2026-05-02 08:19:32,crossing,in,bee,16,36,0,52
2026-05-02 08:19:35,crossing,in,bee,17,36,0,53
2026-05-02 08:19:46,crossing,out,bee,17,37,0,54
2026-05-02 08:19:52,crossing,out,bee,17,38,0,55
2026-05-02 08:20:00,crossing,out,bee,17,39,0,56
2026-05-02 08:20:03,crossing,out,bee,17,40,0,57
2026-05-02 08:20:16,crossing,out,bee,17,41,0,58
2026-05-02 08:20:26,crossing,out,bee,17,42,0,59
2026-05-02 08:20:31,crossing,out,bee,17,43,0,60
2026-05-02 08:20:34,crossing,in,bee,18,43,0,61
2026-05-02 08:20:40,crossing,in,bee,19,43,0,62
2026-05-02 08:21:10,crossing,in,bee,20,43,0,63
2026-05-02 08:21:14,crossing,out,bee,20,44,0,64
2026-05-02 08:21:14,crossing,out,bee,20,45,0,65
2026-05-02 08:21:34,crossing,out,bee,20,46,0,66
2026-05-02 08:21:39,crossing,out,bee,20,47,0,67
2026-05-02 08:21:42,crossing,out,bee,20,48,0,68
2026-05-02 08:21:45,crossing,out,bee,20,49,0,69
2026-05-02 08:21:50,crossing,out,bee,20,50,0,70
2026-05-02 08:21:51,crossing,out,bee,20,51,0,71
2026-05-02 08:21:55,crossing,out,bee,20,52,0,72
2026-05-02 08:21:57,crossing,out,bee,20,53,0,73
2026-05-02 08:22:17,crossing,in,bee,21,53,0,74
2026-05-02 08:22:26,crossing,in,bee,22,53,0,75
2026-05-02 08:22:29,crossing,out,bee,22,54,0,76
2026-05-02 08:22:30,crossing,in,bee,23,54,0,77
2026-05-02 08:22:33,crossing,out,bee,23,55,0,78
2026-05-02 08:22:39,crossing,out,bee,23,56,0,79
2026-05-02 08:22:46,crossing,out,bee,23,57,0,80
2026-05-02 08:23:14,crossing,out,bee,23,58,0,81
2026-05-02 08:23:16,crossing,out,bee,23,59,0,82
2026-05-02 08:23:17,crossing,out,bee,23,60,0,83
2026-05-02 08:23:18,crossing,out,bee,23,61,0,84
2026-05-02 08:23:29,crossing,in,bee,24,61,0,85
2026-05-02 08:23:31,crossing,out,bee,24,62,0,86
