id,timestamp,weight_kg,t_o,t,h,p
1,"2026-04-18 17:37:43",40.5234,21.2,35.1,63.0,990.6
2,"2026-04-18 17:42:43",40.5318,21.2,35.2,62.0,990.7
3,"2026-04-18 17:47:43",40.5473,21.2,35.3,61.0,990.6
4,"2026-04-18 17:52:43",40.5431,21.0,35.4,61.0,990.6
5,"2026-04-18 17:57:43",40.5441,20.9,35.4,61.0,990.5
6,"2026-04-18 18:02:43",40.5544,20.8,35.4,59.0,990.5
7,"2026-04-18 18:07:43",40.5577,19.7,35.4,57.0,990.5
8,"2026-04-18 18:12:43",40.5629,18.8,35.5,57.0,990.6
9,"2026-04-18 18:17:43",40.5738,18.2,35.5,57.0,990.5
10,"2026-04-18 18:22:43",40.5806,17.6,35.6,59.0,990.5
11,"2026-04-18 18:27:43",40.5809,17.1,35.6,58.0,990.5
12,"2026-04-18 18:32:43",40.5854,16.7,35.6,59.0,990.5
13,"2026-04-18 18:37:43",40.5836,16.4,35.4,59.0,990.6
14,"2026-04-18 18:42:43",40.5756,16.3,35.5,59.0,990.5
15,"2026-04-18 18:47:43",40.572,16.3,35.4,60.0,990.5
16,"2026-04-18 18:52:43",40.5694,16.1,35.4,58.0,990.5
17,"2026-04-18 18:57:43",40.5676,15.9,35.5,59.0,990.5
18,"2026-04-18 19:02:43",40.5644,15.6,35.5,60.0,990.5
19,"2026-04-18 19:07:43",40.5592,15.1,35.7,60.0,990.5
20,"2026-04-18 19:12:43",40.553,14.8,35.8,56.0,990.5
21,"2026-04-18 19:17:43",40.5473,14.5,35.7,57.0,990.5
22,"2026-04-18 19:22:43",40.5435,14.1,35.7,57.0,990.5
23,"2026-04-18 19:27:43",40.9005,13.4,35.7,58.0,990.5
24,"2026-04-18 19:32:43",40.8954,12.9,35.7,58.0,990.5
25,"2026-04-18 19:37:43",40.8902,12.8,35.6,56.0,990.6
26,"2026-04-18 19:42:43",41.3032,12.0,35.7,62.0,990.6
27,"2026-04-18 19:47:43",40.8797,11.6,35.7,57.0,990.6
28,"2026-04-18 19:52:43",40.875,11.2,35.6,58.0,990.7
29,"2026-04-18 19:57:43",40.869,10.9,35.7,60.0,990.7
30,"2026-04-18 20:02:43",40.865,10.6,35.8,58.0,990.7
31,"2026-04-18 20:07:43",40.8614,10.3,35.8,58.0,990.8
32,"2026-04-18 20:12:43",40.858,10.1,35.7,60.0,990.7
33,"2026-04-18 20:17:43",40.855,9.9,35.7,60.0,990.8
34,"2026-04-18 20:22:43",40.8806,9.8,35.6,61.0,990.8
35,"2026-04-18 20:27:43",41.3429,9.6,35.5,62.0,990.8
36,"2026-04-18 20:32:43",41.341,9.6,35.5,62.0,990.8
37,"2026-04-18 20:37:43",41.338,9.2,35.5,58.0,990.9
38,"2026-04-18 20:42:43",41.3343,9.1,35.5,58.0,990.9
39,"2026-04-18 20:47:43",41.3316,9.2,35.5,61.0,991.0
40,"2026-04-18 20:52:43",41.3298,9.0,35.5,60.0,990.9
41,"2026-04-18 20:57:43",41.326,8.5,35.6,58.0,991.0
42,"2026-04-18 21:02:43",41.3238,8.4,35.6,58.0,990.9
43,"2026-04-18 21:07:43",41.3211,8.4,35.7,60.0,991.0
44,"2026-04-18 21:12:43",41.3193,8.2,35.8,60.0,990.9
45,"2026-04-18 21:17:43",41.3174,7.7,35.7,57.0,990.9
46,"2026-04-18 21:22:43",41.3158,7.8,35.6,59.0,990.9
47,"2026-04-18 21:27:43",41.3143,7.4,35.7,59.0,990.9
48,"2026-04-18 21:32:43",41.3113,7.1,35.7,59.0,991.0
49,"2026-04-18 21:37:43",41.3096,6.9,35.7,60.0,990.9
50,"2026-04-18 21:42:43",41.3056,6.8,35.7,58.0,990.9
51,"2026-04-18 21:47:43",41.3037,6.8,35.6,59.0,990.9
52,"2026-04-18 21:52:43",41.3013,6.4,35.6,59.0,990.8
53,"2026-04-18 21:57:43",41.299,6.3,35.6,56.0,990.8
54,"2026-04-18 22:02:43",41.2966,6.4,35.6,57.0,990.8
55,"2026-04-18 22:07:43",41.2959,6.2,35.5,57.0,990.8
56,"2026-04-18 22:12:43",41.2938,6.0,35.5,58.0,990.7
57,"2026-04-18 22:17:43",41.292,5.9,35.6,59.0,990.7
58,"2026-04-18 22:22:43",41.2908,5.9,35.6,56.0,990.6
59,"2026-04-18 22:27:43",41.289,5.8,35.6,57.0,990.6
60,"2026-04-18 22:32:43",41.2877,5.6,35.7,59.0,990.7
61,"2026-04-18 22:37:43",41.2857,5.4,35.7,60.0,990.7
62,"2026-04-18 22:42:43",41.2848,5.3,35.6,58.0,990.6
63,"2026-04-18 22:47:43",41.2846,5.2,35.6,58.0,990.6
64,"2026-04-18 22:52:43",41.2835,5.3,35.6,56.0,990.6
65,"2026-04-18 22:57:43",41.2833,5.4,35.5,57.0,990.6
66,"2026-04-18 23:02:43",41.2816,5.4,35.5,52.0,990.5
67,"2026-04-18 23:07:43",41.2802,5.6,35.4,55.0,990.5
68,"2026-04-18 23:12:43",41.2801,5.8,35.5,55.0,990.5
69,"2026-04-18 23:17:43",41.2806,5.6,35.5,57.0,990.5
70,"2026-04-18 23:22:43",41.2806,5.4,35.6,59.0,990.4
71,"2026-04-18 23:27:43",41.2809,5.4,35.7,58.0,990.4
72,"2026-04-18 23:32:43",41.2804,5.4,35.6,61.0,990.5
73,"2026-04-18 23:37:43",41.2811,5.3,35.5,58.0,990.4
74,"2026-04-18 23:42:43",41.2807,5.3,35.5,58.0,990.5
75,"2026-04-18 23:47:43",41.2796,5.4,35.7,53.0,990.5
76,"2026-04-18 23:52:43",41.2793,5.2,35.8,58.0,990.6
77,"2026-04-18 23:57:43",41.2792,5.2,35.8,58.0,990.5
78,"2026-04-19 00:02:43",41.2792,5.2,35.7,54.0,990.5
79,"2026-04-19 00:07:43",41.279,5.2,35.7,57.0,990.5
80,"2026-04-19 00:12:43",41.2783,5.2,35.7,57.0,990.5
81,"2026-04-19 00:17:43",41.2788,5.2,35.7,55.0,990.5
82,"2026-04-19 00:22:43",41.2787,5.2,35.6,58.0,990.5
83,"2026-04-19 00:27:43",41.2794,5.3,35.7,58.0,990.6
84,"2026-04-19 00:32:43",41.2792,5.2,35.7,56.0,990.5
85,"2026-04-19 00:37:43",41.2793,5.2,35.6,59.0,990.5
86,"2026-04-19 00:42:43",41.2803,5.1,35.7,58.0,990.5
87,"2026-04-19 00:47:43",41.2803,5.0,35.6,56.0,990.5
88,"2026-04-19 00:52:43",41.2803,4.9,35.6,56.0,990.4
89,"2026-04-19 00:57:43",41.2797,4.9,35.6,58.0,990.4
90,"2026-04-19 01:02:43",41.2802,5.3,35.6,56.0,990.4
91,"2026-04-19 01:07:43",41.2798,4.8,35.6,57.0,990.4
92,"2026-04-19 01:12:43",41.2798,4.8,35.5,58.0,990.5
93,"2026-04-19 01:17:43",41.2799,4.8,35.5,57.0,990.5
94,"2026-04-19 01:22:43",41.2794,4.6,35.5,57.0,990.5
95,"2026-04-19 01:27:43",41.2793,4.7,35.7,57.0,990.5
96,"2026-04-19 01:32:43",41.2778,4.4,35.6,61.0,990.5
97,"2026-04-19 01:37:43",41.2771,4.4,35.7,59.0,990.4
98,"2026-04-19 01:42:43",41.2759,3.9,35.6,54.0,990.3
99,"2026-04-19 01:47:43",41.2752,3.7,35.6,57.0,990.3
100,"2026-04-19 01:52:43",41.2743,3.6,35.5,54.0,990.3
101,"2026-04-19 01:57:43",41.2739,3.6,35.5,56.0,990.2
102,"2026-04-19 02:02:43",41.2731,3.5,35.5,55.0,990.2
103,"2026-04-19 02:07:43",41.2725,3.5,35.3,59.0,990.2
104,"2026-04-19 02:12:43",41.272,3.6,35.3,59.0,990.2
105,"2026-04-19 02:17:43",41.2715,3.6,35.5,59.0,990.1
106,"2026-04-19 02:22:43",41.2705,3.9,35.4,57.0,990.1
107,"2026-04-19 02:27:43",41.2722,4.2,35.5,57.0,990.1
108,"2026-04-19 02:32:43",41.2731,4.2,35.5,55.0,990.0
109,"2026-04-19 02:37:43",41.2741,4.6,35.5,58.0,990.0
110,"2026-04-19 02:42:43",41.2758,4.4,35.5,54.0,990.0
111,"2026-04-19 02:47:43",41.277,4.3,35.5,55.0,990.0
112,"2026-04-19 02:52:43",41.2782,4.2,35.4,57.0,989.9
113,"2026-04-19 02:57:43",41.2797,4.2,35.4,57.0,989.8
114,"2026-04-19 03:02:43",41.2809,4.4,35.5,56.0,989.8
115,"2026-04-19 03:07:43",41.281,4.4,35.5,56.0,989.8
116,"2026-04-19 03:12:43",41.2831,4.4,35.6,57.0,989.7
117,"2026-04-19 03:17:43",41.2842,4.5,35.6,58.0,989.7
118,"2026-04-19 03:22:43",41.2853,4.5,35.6,57.0,989.7
119,"2026-04-19 03:27:43",41.2869,4.5,35.6,56.0,989.7
120,"2026-04-19 03:32:43",41.2879,4.5,35.7,58.0,989.7
121,"2026-04-19 03:37:43",41.2885,4.4,35.8,60.0,989.6
122,"2026-04-19 03:42:43",41.2886,4.4,35.8,57.0,989.7
123,"2026-04-19 03:47:43",41.2893,4.4,35.7,57.0,989.7
124,"2026-04-19 03:52:43",41.2892,4.4,35.7,56.0,989.6
125,"2026-04-19 03:57:43",41.2895,4.5,35.6,55.0,989.6
126,"2026-04-19 04:02:43",41.2893,4.5,35.6,56.0,989.6
127,"2026-04-19 04:07:43",41.2899,4.4,35.5,58.0,989.5
128,"2026-04-19 04:12:43",41.2898,4.4,35.6,60.0,989.5
129,"2026-04-19 04:17:43",41.2894,4.2,35.6,58.0,989.5
130,"2026-04-19 04:22:43",41.2879,3.9,35.6,58.0,989.5
131,"2026-04-19 04:27:43",41.2859,4.1,35.7,58.0,989.4
132,"2026-04-19 04:32:43",41.2855,4.4,35.8,56.0,989.3
133,"2026-04-19 04:37:43",41.2844,4.2,35.8,57.0,989.3
134,"2026-04-19 04:42:43",41.2829,4.2,35.8,57.0,989.2
135,"2026-04-19 04:47:43",41.2817,4.1,35.8,54.0,989.2
136,"2026-04-19 04:52:43",41.2824,4.3,35.6,57.0,989.3
137,"2026-04-19 04:57:43",41.2828,4.4,35.6,55.0,989.3
138,"2026-04-19 05:02:43",41.283,4.4,35.6,56.0,989.2
139,"2026-04-19 05:07:43",41.283,4.6,35.6,54.0,989.2
140,"2026-04-19 05:12:43",41.2832,4.6,35.7,57.0,989.1
141,"2026-04-19 05:17:43",41.2835,4.4,35.8,56.0,989.1
142,"2026-04-19 05:22:43",41.2825,4.2,35.8,59.0,989.0
143,"2026-04-19 05:27:43",41.2823,3.9,35.8,56.0,989.0
144,"2026-04-19 05:32:43",41.2808,3.9,35.7,56.0,989.0
145,"2026-04-19 05:37:43",41.281,3.9,35.7,57.0,988.9
146,"2026-04-19 05:42:43",41.2803,3.8,35.6,56.0,988.9
147,"2026-04-19 05:47:43",41.2799,3.7,35.6,56.0,988.9
148,"2026-04-19 05:52:43",41.2796,3.6,35.6,53.0,988.9
149,"2026-04-19 05:57:43",41.2789,3.5,35.7,53.0,988.9
150,"2026-04-19 06:02:43",41.2784,3.5,35.7,57.0,988.9
151,"2026-04-19 06:07:43",41.2776,3.4,35.7,59.0,988.9
152,"2026-04-19 06:12:43",41.2778,3.3,35.7,57.0,988.9
153,"2026-04-19 06:17:43",41.2762,3.6,35.7,57.0,988.8
154,"2026-04-19 06:22:43",41.2755,3.4,35.6,55.0,988.9
